English,Spanish,French,German,Chinese,Japanese
hit the books,ponerse a estudiar,se mettre à étudier,lernen,用功学习,勉強する
in hot water,estar en problemas,être dans l’embarras,in Schwierigkeiten sein,陷入麻烦,困った状況にある
jump on the bandwagon,sumarse a la moda,suivre le mouvement,auf den Zug aufspringen,跟风,流行に乗る
keep an eye on,vigilar,garder un œil sur,ein Auge auf etwas haben,留意,見守る
kill two birds with one stone,matar dos pájaros de un tiro,faire d’une pierre deux coups,zwei Fliegen mit einer Klappe schlagen,一举两得,一石二鳥
leave no stone unturned,no dejar piedra sin mover,ne rien laisser au hasard,nichts unversucht lassen,不遗余力,徹底的にやる
let sleeping dogs lie,no remover el pasado,laisser les choses telles quelles,schlafende Hunde nicht wecken,别惹麻烦,触らぬ神に祟りなし
make a long story short,resumiendo,bref,kurz gesagt,长话短说,手短に言う
make ends meet,llegar a fin de mes,joindre les deux bouts,über die Runden kommen,维持生计,やりくりする
miss the mark,fallar el objetivo,manquer la cible,das Ziel verfehlen,未达目标,的外れだ
no pain no gain,sin dolor no hay ganancia,pas de douleur pas de gain,ohne Fleiß kein Preis,不劳无获,努力なくして成果なし
on the same page,estar de acuerdo,être sur la même longueur d’onde,auf derselben Seite sein,达成一致,同じ考えだ
on thin ice,en terreno peligroso,en terrain glissant,auf dünnem Eis sein,如履薄冰,危うい状態
out of the blue,de la nada,à l’improviste,aus heiterem Himmel,突然,突然に
pay the price,pagar las consecuencias,payer le prix,den Preis zahlen,付出代价,代償を払う
play it by ear,improvisar,improviser,spontan entscheiden,随机应变,様子を見て決める
put all your eggs in one basket,apostarlo todo,mettre tous ses œufs dans le même panier,alles auf eine Karte setzen,孤注一掷,一つに賭ける
pull yourself together,contrólate,reprends-toi,reiß dich zusammen,振作,気をしっかり持つ
rain cats and dogs,llover a cántaros,pleuvoir des cordes,in Strömen regnen,倾盆大雨,土砂降り
read between the lines,leer entre líneas,lire entre les lignes,zwischen den Zeilen lesen,言外之意,行間を読む
ring a bell,sonar familiar,ça me dit quelque chose,kommt mir bekannt vor,似曾相识,聞き覚えがある
rock the boat,causar problemas,faire des vagues,das Boot zum Wanken bringen,惹麻烦,波風を立てる
rule of thumb,regla general,règle générale,Faustregel,经验法则,目安
see eye to eye,estar de acuerdo,être d’accord,derselben Meinung sein,意见一致,意見が一致する
sit tight,esperar tranquilamente,rester tranquille,abwarten,耐心等待,じっと待つ
speak of the devil,hablando del rey de Roma,quand on parle du loup,wenn man vom Teufel spricht,说曹操曹操到,噂をすれば影
stick to your guns,mantenerse firme,tenir bon,standhaft bleiben,坚持立场,自分の意見を貫く
take a rain check,dejarlo para otro día,remettre à plus tard,verschieben,改天再说,また今度にする
take the bull by the horns,tomar el toro por los cuernos,prendre le taureau par les cornes,den Stier bei den Hörnern packen,迎难而上,正面から取り組む
taste of your own medicine,probar su propia medicina,goûter à son propre remède,die eigene Medizin kosten,自食其果,自業自得
the early bird catches the worm,a quien madruga Dios le ayuda,l’avenir appartient à ceux qui se lèvent tôt,Morgenstund hat Gold im Mund,早起的鸟儿有虫吃,早起きは三文の徳
the tip of the iceberg,la punta del iceberg,la partie visible de l’iceberg,die Spitze des Eisbergs,冰山一角,氷山の一角
through thick and thin,en las buenas y en las malas,dans les bons et mauvais moments,durch dick und dünn,同甘共苦,苦楽を共にする
time flies,el tiempo vuela,le temps file,die Zeit vergeht schnell,时光飞逝,時が経つのは早い
to make matters worse,para colmo,pour aggraver les choses,um alles noch schlimmer zu machen,雪上加霜,さらに悪いことに
turn a blind eye,hacer la vista gorda,fermer les yeux,ein Auge zudrücken,视而不见,見て見ぬふり
turn over a new leaf,empezar de nuevo,tourner la page,ein neues Blatt aufschlagen,改过自新,心機一転
twist someone's arm,convencer a alguien,forcer la main,jemanden überreden,强迫别人,無理に説得する
under the table,por debajo de la mesa,sous la table,unter der Hand,暗地里,内緒で
up in the air,en el aire,en suspens,in der Luft,悬而未决,未定だ
walk on eggshells,andar con cuidado,marcher sur des œufs,auf Eierschalen gehen,小心翼翼,神経を使う
water under the bridge,agua pasada,du passé,Schnee von gestern,往事如烟,過ぎたこと
wear your heart on your sleeve,mostrar sentimientos,porter son cœur sur la main,sein Herz auf der Zunge tragen,表露情感,感情を表に出す
when pigs fly,cuando las ranas críen pelo,quand les poules auront des dents,wenn Schweine fliegen,不可能,ありえない
you can't judge a book by its cover,no juzgues por las apariencias,il ne faut pas juger sur l’apparence,man soll ein Buch nicht nach seinem Einband beurteilen,人不可貌相,見た目で判断できない
your time is up,se acabó el tiempo,le temps est écoulé,die Zeit ist um,时间到了,時間切れ
zero in on,enfocarse,se concentrer sur,sich konzentrieren auf,聚焦,集中する
once in a blue moon,muy raramente,très rarement,alle Jubeljahre,千载难逢,めったにない
break the ice,romper el hielo,briser la glace,das Eis brechen,打破僵局,緊張をほぐす
hit the nail on the head,dar en el clavo,tomber dans le mille,den Nagel auf den Kopf treffen,一针见血,図星を突く
let the cat out of the bag,irse de la lengua,vendre la mèche,die Katze aus dem Sack lassen,泄露秘密,うっかり秘密を漏らす
cost an arm and a leg,cuesta un ojo de la cara,coûter les yeux de la tête,ein Vermögen kosten,非常昂贵,非常に高い
piece of cake,pan comido,c’est du gâteau,ein Kinderspiel,小菜一碟,朝飯前
under the weather,indispuesto,ne pas être dans son assiette,sich nicht wohl fühlen,身体不适,体調が悪い
bite the bullet,apretar los dientes,prendre son courage à deux mains,in den sauren Apfel beißen,咬牙坚持,我慢する
burn the midnight oil,quemarse las pestañas,brûler l’huile de minuit,die Nacht durcharbeiten,熬夜,夜遅くまで働く
the ball is in your court,la pelota está en tu tejado,la balle est dans votre camp,der Ball liegt bei dir,轮到你了,次はあなたの番
cut corners,tomar atajos,bâcler le travail,Ecken abschneiden,偷工减料,手を抜く
break a leg,mucha mierda,merde,Hals- und Beinbruch,祝你好运,頑張って
call it a day,terminar por hoy,s’arrêter pour aujourd’hui,Feierabend machen,收工,今日は終わりにする
get out of hand,irse de las manos,devenir incontrôlable,außer Kontrolle geraten,失控,手に負えなくなる
hit the sack,irse a dormir,aller au lit,ins Bett gehen,去睡觉,寝る
miss the boat,perder la oportunidad,manquer le coche,den Anschluss verpassen,错失机会,チャンスを逃す
pull someone's leg,tomar el pelo,se moquer de quelqu’un,jemanden auf den Arm nehmen,开玩笑,からかう
sit on the fence,no decidirse,rester neutre,auf der Seite stehen,保持中立,様子を見る
take it with a grain of salt,tomarlo con cautela,prendre avec des pincettes,mit Vorsicht genießen,半信半疑,話半分に聞く
throw in the towel,tirar la toalla,jeter l’éponge,das Handtuch werfen,放弃,諦める
under your nose,delante de tus narices,sous votre nez,direkt vor der Nase,就在眼前,目の前に
wrap your head around it,entenderlo,bien comprendre,verstehen,理解,理解する
your guess is as good as mine,no tengo idea,je n’en sais rien,ich habe keine Ahnung,我也不知道,私にも分からない
a blessing in disguise,una bendición disfrazada,une bénédiction déguisée,ein versteckter Segen,因祸得福,不幸中の幸い
the ballpark figure,una cifra aproximada,une estimation approximative,eine grobe Schätzung,大致数字,概算
go down in flames,fracasar estrepitosamente,échouer lamentablement,kläglich scheitern,彻底失败,大失敗する
keep your chin up,mantener el ánimo,garder le moral,Kopf hoch,振作起来,元気を出す
throw someone under the bus,traicionar a alguien,trahir quelqu’un,jemanden in die Pfanne hauen,出卖别人,人を裏切る
hit the ground running,empezar con fuerza,commencer sur les chapeaux de roues,sofort durchstarten,迅速进入状态,すぐに全力で始める
bend over backwards,hacer todo lo posible,se plier en quatre,sich sehr bemühen,竭尽全力,全力を尽くす
call the shots,tomar las decisiones,prendre les décisions,die Entscheidungen treffen,掌控局面,決定権を握る
cut someone some slack,ser indulgente con alguien,être indulgent avec quelqu’un,nachsichtig sein,对某人宽容,大目に見る
burn bridges,quemar puentes,couper les ponts,Brücken abbrechen,断绝关系,関係を断つ
